,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
SRC09_HRC00.avi,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.933333333
SRC09_HRC01.avi,3,3,3,3,2,1,3,1,4,3,2,2,3,3,3,3,3,1,1,3,2,2,3,2,2,3,3,4,2,2,2.5
SRC09_HRC02.avi,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,3,4,3,3,4,2,4,4,3,4,4,4,4,3,3,3.633333333
SRC09_HRC03.avi,3,2,2,2,2,1,2,1,2,2,2,1,1,2,2,1,2,1,1,2,1,2,1,1,2,1,2,3,2,1,1.666666667
SRC09_HRC04.avi,4,4,4,4,2,3,4,4,4,4,4,3,3,4,4,2,4,3,4,4,2,4,4,4,4,4,4,4,3,3,3.6
SRC10_HRC00.avi,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SRC10_HRC01.avi,3,3,2,3,2,1,3,2,3,3,2,3,2,2,3,2,2,2,2,5,1,2,2,2,1,3,3,3,2,2,2.366666667
SRC10_HRC02.avi,4,4,4,4,3,3,4,4,4,4,3,4,3,4,4,4,3,3,4,4,2,4,4,3,3,4,3,4,3,3,3.566666667
SRC10_HRC03.avi,2,4,2,3,2,1,2,2,3,2,1,3,2,2,3,1,1,2,1,2,1,2,2,2,2,2,2,3,1,1,1.966666667
SRC10_HRC04.avi,4,3,5,3,3,2,4,3,4,3,3,4,2,4,3,2,3,2,4,4,2,4,3,3,3,3,2,4,3,3,3.166666667
SRC11_HRC00.avi,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SRC11_HRC01.avi,3,3,3,2,2,1,2,2,3,3,2,3,3,3,3,2,2,2,1,3,1,4,2,2,2,2,3,4,2,1,2.366666667
SRC11_HRC02.avi,4,4,3,2,3,3,4,4,4,4,3,4,4,3,4,3,3,2,2,4,2,3,4,4,3,4,3,3,2,2,3.233333333
SRC11_HRC03.avi,1,3,1,1,2,1,2,1,3,2,1,2,2,2,2,1,1,1,1,2,1,2,1,2,1,1,2,3,1,1,1.566666667
SRC11_HRC04.avi,4,3,3,3,2,2,4,5,4,2,3,2,2,3,3,1,3,1,2,4,2,4,3,3,3,3,2,4,2,3,2.833333333
SRC12_HRC00.avi,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SRC12_HRC01.avi,3,3,3,3,3,1,3,2,3,3,2,3,2,3,3,2,2,2,2,2,1,2,3,2,2,3,2,3,2,1,2.366666667
SRC12_HRC02.avi,3,5,5,4,3,4,4,3,5,3,4,4,3,4,4,4,4,3,4,4,3,4,4,3,4,4,3,4,3,4,3.766666667
SRC12_HRC03.avi,3,2,2,2,2,1,4,1,3,3,1,1,1,3,3,1,1,1,2,2,1,2,1,2,1,1,1,3,2,3,1.866666667
SRC12_HRC04.avi,4,4,4,4,3,4,4,5,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3.833333333
SRC13_HRC00.avi,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SRC13_HRC01.avi,4,4,4,3,3,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,2,4,4,3,3,4,3,4,3,2,3.566666667
SRC13_HRC02.avi,3,3,2,2,3,2,3,2,3,4,3,3,2,3,3,3,1,2,1,3,1,3,3,3,2,3,3,4,2,1,2.533333333
SRC13_HRC03.avi,3,4,3,4,2,4,2,3,4,4,3,4,3,3,3,2,3,4,3,4,2,3,4,4,3,4,3,4,2,4,3.266666667
SRC13_HRC04.avi,2,3,2,1,2,1,2,1,2,1,2,3,1,3,2,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1,1.666666667
SRC14_HRC00.avi,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SRC14_HRC01.avi,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,5,4,3,4,5,4,4,3,4,4,4,4,4,4,3.9
SRC14_HRC02.avi,3,3,2,3,2,2,2,2,3,3,2,2,2,3,3,2,2,2,1,2,1,2,3,3,1,2,2,4,2,2,2.266666667
SRC14_HRC03.avi,4,4,4,4,3,3,4,4,3,3,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,3.7
SRC14_HRC04.avi,2,2,2,1,2,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,3,1,1,1.466666667
SRC15_HRC00.avi,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SRC15_HRC01.avi,2,3,2,3,3,2,2,1,3,3,2,3,2,2,3,3,3,2,1,4,1,2,2,2,1,2,2,3,2,1,2.233333333
SRC15_HRC02.avi,4,4,4,4,4,3,4,5,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,3,4,5,3,3.933333333
SRC15_HRC03.avi,1,2,2,2,2,1,4,1,3,2,2,2,2,2,3,2,3,2,2,1,2,2,1,2,2,3,2,3,2,2,2.066666667
SRC15_HRC04.avi,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,5,4,4,4,4,2,4,4,3,4,4,3,4,4,3,3.766666667
SRC16_HRC00.avi,4,5,5,5,4,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4.833333333
SRC16_HRC01.avi,4,5,5,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4.2
SRC16_HRC02.avi,5,4,3,3,3,2,3,2,4,4,3,4,4,4,3,3,3,3,2,4,2,4,3,3,3,4,3,4,3,3,3.266666667
SRC16_HRC03.avi,4,4,5,4,3,3,4,5,4,4,4,4,4,4,4,4,4,3,4,4,2,4,4,2,3,4,4,4,4,3,3.766666667
SRC16_HRC04.avi,2,3,3,3,2,1,2,1,4,3,2,2,2,2,3,2,2,3,2,3,2,2,3,1,4,2,3,3,2,1,2.333333333
SRC17_HRC00.avi,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SRC17_HRC01.avi,2,3,2,2,3,1,3,2,3,3,3,2,2,3,3,2,2,2,2,3,1,2,2,3,3,2,3,4,2,2,2.4
SRC17_HRC02.avi,3,4,4,3,3,2,4,4,4,4,3,4,4,4,4,4,4,3,3,4,3,4,4,4,3,4,4,4,3,4,3.633333333
SRC17_HRC03.avi,1,2,1,1,2,1,2,1,2,2,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,1.466666667
SRC17_HRC04.avi,3,4,4,3,3,3,4,3,4,4,3,3,3,3,4,2,3,3,4,4,2,3,3,3,4,4,3,4,3,3,3.3
SRC18_HRC00.avi,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SRC18_HRC01.avi,3,3,3,3,3,2,3,4,4,3,3,3,3,3,3,4,4,2,4,3,2,3,3,2,2,3,3,4,3,2,3
SRC18_HRC02.avi,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,3,4,3.833333333
SRC18_HRC03.avi,3,3,4,3,3,1,3,2,3,2,3,3,3,3,3,2,3,2,3,3,2,3,3,2,2,2,3,4,3,2,2.7
SRC18_HRC04.avi,4,3,2,2,2,3,4,5,3,4,3,3,4,3,3,2,4,4,2,4,1,4,3,2,3,3,4,3,3,3,3.1
SRC19_HRC00.avi,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.966666667
SRC19_HRC01.avi,4,5,4,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,3,4
SRC19_HRC02.avi,2,3,2,2,2,2,2,3,4,4,3,2,3,3,3,3,2,2,2,3,2,3,2,2,2,2,2,3,1,1,2.4
SRC19_HRC03.avi,4,5,5,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4.133333333
SRC19_HRC04.avi,3,2,1,2,2,2,3,1,2,2,2,2,2,2,3,1,2,1,1,2,2,2,1,2,2,2,1,2,1,1,1.8
SRC20_HRC00.avi,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4.866666667
SRC20_HRC01.avi,2,3,1,2,3,2,2,1,4,3,2,2,2,3,3,2,2,1,2,2,1,2,2,2,1,3,2,3,1,1,2.066666667
SRC20_HRC02.avi,4,3,3,3,3,2,4,3,4,3,3,4,3,2,4,3,3,3,4,4,1,4,3,3,4,3,3,4,3,3,3.2
SRC20_HRC03.avi,1,2,3,1,2,1,2,1,3,1,1,3,2,2,2,1,1,1,1,3,1,1,1,2,1,1,2,3,2,1,1.633333333
SRC20_HRC04.avi,3,3,3,3,2,2,4,3,4,3,3,4,3,3,4,2,3,2,3,4,1,4,4,2,3,3,3,4,2,2,2.966666667
